,alt,sum,brw,mhd,thd,nwr,kum,mlo,smo,cgo,ush,psa,spo
2006-12-01,191.15877784667725,193.3035745780731,192.8216009824945,191.24223125090398,197.52406668623547,193.50257988684893,189.27017135337744,185.03384175549942,176.8172687169611,228.2293189239034,,168.51019715768226,182.74005778085242
2007-01-01,194.7907762650403,193.51231378717821,194.13218752092504,193.71784750257135,189.87796467064288,187.4469004318543,192.04969814249256,183.14665165561485,172.4606541096128,219.60828953201684,,166.74726175178176,174.05842850332476
2007-02-01,191.55621079828046,192.7577786984395,193.26232998183528,189.91631164137073,187.91640595448314,189.84960917241142,191.28278216867685,180.85915038672616,169.73611159837887,16.023909242417176,,167.41867168071482,102.18834274773579
2007-03-01,191.41950897214255,192.41234434714744,191.17799708242774,191.0436194630607,214.1454627825308,188.59231269673526,196.66367415608684,186.47103745136843,175.0927543457476,148.12402824040143,,168.35419830507809,188.1695121853562
2007-04-01,192.5115450415308,192.0259057252201,193.06317722575176,190.94002082565177,194.79766063001807,194.68156833634262,184.8884543231256,186.96353451403857,175.02248736581186,214.3003625672897,,168.97696315555424,214.61014442765892
2007-05-01,194.62456975223668,197.29056038128746,192.503966410261,195.6527904972608,192.82515395799962,195.1500924232446,196.07377981106828,187.05306815147375,172.1547639197642,203.50596607615924,,170.58839907850114,259.8748118908632
2007-06-01,193.66138064209719,194.41139731324864,193.7807802938654,185.2848073680366,198.7106983897363,197.2092052645502,201.32574286550425,188.67127863604782,173.11557138170545,317.5763103422442,,170.530459330984,-33.0129415733376
2007-07-01,193.12730795063433,195.29798051312417,194.95535659648547,195.80291446562128,195.7116203147462,193.5490001027904,195.42521409626144,182.13430294554925,172.5294927218353,303.46877726432945,,172.5046148489327,161.8474626905842
2007-08-01,193.74256138121612,194.28332852611166,194.82343314978272,197.25454162503706,196.31469633642217,195.77668861485034,216.91659722118703,186.84476371532654,175.47076849653047,244.11813961842066,,172.55231691937547,164.0714905210156
2007-09-01,195.72146784507243,195.92962773384906,195.7718040818629,197.37287817976843,197.07522858602331,196.49046301282252,193.4543041510061,191.58377817522674,187.42393163422463,240.70019103211496,,174.05568767426084,543.9523350685922
2007-10-01,196.7080029373399,198.06470064785208,196.46907359559557,197.54773335352365,197.23786601792813,201.65051301495382,207.2270002074397,194.28692073645652,202.02259083627786,260.83333793116105,,174.86128673866293,142.77497180713954
2007-11-01,199.40642722577036,198.4385909830939,199.64390201576597,199.6042698552104,201.10347117185614,194.71813009639027,192.02748582117425,193.55301955010793,176.7992037801196,204.36885317982026,,174.833297741193,171.92649878167663
2007-12-01,200.61296558189193,198.8974691413464,200.25552413644502,199.85166406452876,204.00985862717954,195.30970708648846,201.18344027059175,189.0433297705561,182.53823458928318,220.95330029075524,,175.98704802888986,202.3508320521094
2008-01-01,202.76256329276526,198.50756609323037,202.27204891589633,200.26769814146584,200.12230452212214,194.94773896225715,199.63529199104124,196.02048339481888,183.0422743153269,200.1128997009771,,175.93497006245016,205.88000142879466
2008-02-01,201.0273844322193,204.00662062254122,201.90117205562174,201.9279740358733,198.89866892470383,200.11079565784237,201.25888346724923,195.61483624464952,181.95811043397086,214.33105090978592,,176.52169948439342,199.3235762924691
2008-03-01,203.97432141824174,200.62352529877776,202.83948885367357,201.27723787606797,207.6265403204573,199.50903862705712,198.63841378989954,187.59470569692093,178.4671958212729,200.7688034783007,,176.7033063234418,211.33678424546315
2008-04-01,200.8743492152126,197.94818509258945,201.8241763551083,200.3658755174526,201.9051382488526,199.7159856815798,204.4329974071534,197.80623144042085,181.47223359431027,208.60434744422062,,176.99864905176327,219.04446525247323
2008-05-01,202.34490321859488,201.79279381932682,201.65263133468545,210.40418911520086,202.65566007418553,201.88605068424454,203.90510672264213,192.040723649616,180.26841437070698,208.70225481743606,,178.8894164139625,157.6955925774343
2008-06-01,201.3811143827392,204.12109321036206,202.4784790591225,206.40499413683796,207.37676628402633,205.48752267876645,227.67092325018447,192.160776003325,186.348566599088,206.88531322929646,,179.40453024124608,196.46602236880688
2008-07-01,203.41342191515994,203.57118456853985,202.48138043686754,205.86666619820983,206.89829356859417,202.12108565294002,206.7511026334444,195.2404989853746,192.2783598712925,225.55531107364268,,180.02789242853262,140.82317543232168
2008-08-01,202.2091889363281,205.88978895930595,203.2326133523012,203.33803541970593,203.9858270061405,205.76824206187436,205.2791177247562,194.2415555726626,183.79336881057912,213.29841924523038,,181.5973645822506,187.69642624601968
2008-09-01,204.09896476999867,206.73979045697092,204.19875896145487,203.68858545634617,204.14267865211752,205.94349206646802,243.41456180622453,198.1963916848347,115.49160938030046,241.7310310255806,,182.53023580683742,169.42723362040485
2008-10-01,206.7774454103651,206.57497640493636,205.77121869528742,204.34845575768765,204.51004015320532,205.52316010639885,204.0910126303839,202.3960796306895,186.9147114118456,234.1558706636502,,184.04964150233502,176.03754223861722
2008-11-01,207.40569188269916,209.71835332632745,208.33130635187402,208.09383694523808,217.65642840154712,207.35311914375166,212.61355137118852,197.82618514751886,185.89847084956045,227.32908543538727,,183.04041957968383,133.35919930203676
2008-12-01,209.25666462491594,209.51598669015738,209.87843179560505,210.65378711338036,206.52567999678504,204.2257495733603,211.66119837920579,197.6245654453317,190.53094992372164,208.52911888445183,,184.28610948055297,143.19643948108148
2009-01-01,210.78841951345947,208.41697507467282,210.40075518464857,211.4456904254012,208.97417058049422,204.6503255283742,206.88029123011827,199.80583695442522,185.5848658983286,227.229998012699,,183.4565969908445,186.52986721226407
2009-02-01,210.4283016151195,207.65891955065248,208.02140296419378,207.70513909840852,206.51218031540697,202.36392328951507,206.65266629407114,201.90136144654156,137.29927436441457,215.75853352453123,,184.685471793467,201.8224951420817
2009-03-01,207.3359560647463,211.20108051016314,209.04773840227153,206.76747371777662,205.17271753525117,203.15193088548833,217.28408647306307,202.104544572885,188.7266909395823,208.65834703907097,,182.96829693545823,186.71906118040775
2009-04-01,208.66000750697523,206.25332821844324,209.2859525631337,211.23686762290293,208.33253180218028,207.7273721706833,209.2478989419998,201.95191708080657,213.64759861843004,212.0618664387724,,184.3371115911729,156.5058769604081
2009-05-01,209.36893000826774,209.7651130096686,208.63382629701627,208.3123685795762,207.7392716813957,204.54541602294947,208.92227959312754,202.07910325337545,189.8007946117174,281.243021644437,,185.92758830913908,193.54628621806677
2009-06-01,210.66483463116225,210.32522055890783,209.00435191242116,217.65587725617962,209.65585157165845,205.37997249336675,209.75402123287196,202.89204370994338,190.56264243348565,239.9431099571988,,186.6480787710456,177.47530146309586
