,alt,sum,brw,mhd,thd,nwr,kum,mlo,smo,cgo,ush,psa,spo
2002-09-01,24.59104871632004,,25.728631369869763,25.270315310431936,26.366037900972906,25.551023977906482,35.849941442339755,23.560597796408608,37.44394633234288,28.71807526613848,,19.39037857347956,22.25596669318575
2002-10-01,26.44299047684606,,26.50228949979897,26.325072747617103,30.7348383608319,26.423710028795398,26.98266036237719,25.033542576998514,19.910484925594908,33.64084107534533,,19.5299524384072,19.603410289422108
2002-11-01,26.917286209840643,,27.15957931600484,27.416299226475054,27.80915609608606,26.82461633418484,29.420545735543246,24.99242334298833,26.078722140370534,32.78355534546461,,19.988415705480268,19.736896461163575
2002-12-01,27.523985216868834,,27.50698407748141,28.20028977131918,29.010777975532278,26.238986388220965,28.08444583210971,23.6378629077605,25.656792500935154,28.01003988114619,,20.235239207999665,25.516019901446995
2003-01-01,27.65127829891636,,27.783272743467286,29.112516319414038,28.059858640120854,26.567018545034955,27.67646278527245,25.01849066171373,-5.965192440613311,32.02967351170228,,20.256796510602193,37.80060584863258
2003-02-01,28.010560451096257,,27.96994565710574,27.78246253021277,27.701226799824813,26.276897153096282,27.55095249823581,24.559922850841083,61.39016395727173,42.884747498899586,,20.167013577135553,10.27940969626407
2003-03-01,28.13668716409887,,27.77623229142983,27.545904431812456,27.891755794603835,28.595696304220404,30.129909770497022,26.337034235148202,22.54202301429372,33.262809749213,,20.545122704611437,29.200648612595106
2003-04-01,28.562671909777396,,28.042235134061308,28.92849996575756,28.874441160141583,25.19840193457523,27.477674593744542,24.52570057781333,22.776231309202284,33.13638498982705,,20.691720660166677,38.07180691897463
2003-05-01,28.734280896876975,,28.60158704969855,29.303899027827644,27.864786301431838,27.806600822756387,33.68353197253811,25.794434113004762,21.055986326990602,55.17401366416646,,21.313875859570448,16.43144573424125
2003-06-01,28.870777183696728,,29.300021888589562,28.903256250295787,29.26524259627567,30.875466091216406,27.797619669848288,25.30255613462558,23.762452273404225,16.973664491003184,,22.02511619604319,26.991438650528966
2003-07-01,29.362257843873365,,29.082996871520134,32.03093971030994,29.969555612700464,30.71105172508041,31.798613787783793,27.00695091724531,20.501756567090062,29.671397966024838,,22.219808360515724,19.74533509111056
2003-08-01,29.55982394307815,,30.53673114774529,30.69660077834629,29.718168884030106,29.893651297184586,31.63316894808941,27.10396415098888,23.526281790989756,44.68505470345529,,22.60431082631,23.417432384473607
2003-09-01,30.14943696995123,,30.251643809951272,30.260103247100055,31.47066822555826,30.85022498704107,27.675844690745194,26.745600930005786,24.350958201347087,79.50520424456968,,22.942819953699658,32.38897807826693
2003-10-01,31.317744529080613,,31.33398814846576,31.948824285192963,31.288710980536848,30.045589772280834,30.663307626281266,27.935303435183794,24.293594284435198,31.245380233783877,,23.065998859339665,16.74925591651905
2003-11-01,32.21505275636743,,32.0999483717585,32.83976746224646,31.58536154681437,31.317165480580694,33.03221313478997,29.171520022234343,23.512877162836844,23.04047571426654,,23.307270233410694,15.47277438604792
2003-12-01,32.8906909373511,,32.89607964774437,32.253528101530215,32.12816719536571,31.339210214299115,37.610690276578055,30.072186837622404,22.60192308755842,65.06970980191369,,23.486449164154827,31.743793277888926
2004-01-01,32.86029477599685,,33.052817250613785,32.563964853368326,33.13537249047407,31.003893125177697,33.716439993764894,28.71066341852468,26.468770241297126,63.35386699981288,,23.935454777222205,29.870367063515506
2004-02-01,32.86959571181495,,32.41623347214885,33.76484501688975,33.204328917747695,32.12748079253242,32.849175587661804,28.538116367184724,25.50762344580353,55.52488243751867,,24.234036126933486,26.998964421451173
2004-03-01,32.72987494408617,,32.367330669587474,32.50555672527721,31.748692658078014,31.289061872109297,36.779292603643874,29.512512467526715,25.672403840094084,38.66829497273072,,24.078270847126973,29.963547528372544
2004-04-01,33.00037942947799,,32.430333238384364,31.431836541006202,33.380128262494466,29.239068812758816,32.35511065001021,28.989980495950793,26.028334691334617,41.60561325771966,,24.805353649778823,27.442829891248177
2004-05-01,32.7034959210787,,33.310262310014465,33.398848050872495,33.308104535948175,31.099376986335276,32.214907629182164,30.091241832882737,31.26287790840371,38.42646264838434,,25.84097815738819,11.225452479016397
2004-06-01,33.210650802259536,,33.40856113980738,34.805571366830385,33.1170329150613,31.717189400654966,34.25817801209327,32.165430175320246,26.185943114315233,41.90907855469051,,25.63707123310312,15.336845064274861
2004-07-01,33.240462866973566,34.1181852847262,33.384430354638894,35.624626780320014,33.82788780406364,33.83324485865993,38.827878470878375,31.222407467815945,21.743425161770478,62.632399661588884,,25.691002778449896,25.284035971029322
2004-08-01,34.232669705890345,34.532106897137076,35.032022902387595,31.331090948471726,34.10566124738146,35.34390390141187,41.109652607023634,31.663324472900687,23.911515741387635,40.92643293712189,,26.35022007984537,32.398903527654475
2004-09-01,34.80553038320487,34.51786704305963,35.03864128168013,34.98546614056478,34.92956558390661,34.29198529703419,41.79522870074559,32.00716217663116,27.61205367232961,79.13227850973898,,27.12536236034712,33.474057823972345
2004-10-01,35.74542847884564,36.114676235405504,35.75580988962882,35.314426997114076,43.39721949817806,35.838784254282416,38.85246384226729,32.88825433800219,28.386328867036546,37.22690242536846,,27.507982811015275,32.93558370955474
2004-11-01,36.43649113797283,37.37845680705955,36.81839058443146,36.74634563598443,35.38173705429289,35.56442042643304,36.88309215494516,33.32495828316613,26.788735221991516,38.84241363803019,,28.48799433970082,26.60411144850965
2004-12-01,36.99429642526283,37.310971374507375,37.430784939397114,36.87878736793715,36.977972496747405,35.37297903819339,37.83267237587948,33.37842626470673,13.027723716218327,40.38631638125105,,29.531540962784,33.61175197653454
2005-01-01,37.48334257983289,37.59161104531169,38.44309435932588,36.379222755210456,37.48627559544547,34.577812087679135,43.79150375529441,32.86103939461264,29.623688068767887,43.91280799220335,,28.953354075801528,30.935288569407202
2005-02-01,37.4385644550628,36.965144669722754,38.097386826246115,35.76420327956503,36.358939588109905,34.597030423330715,48.23834517826461,33.54397107205728,33.05074656036886,105.46475372676957,,28.887108836779255,52.54104851044757
2005-03-01,37.1706311623374,36.764625302848486,37.61849488677576,36.64019587122523,37.00980563690987,37.168376053862275,37.99247453550032,34.800293020829756,23.6268291761654,39.23514601183789,,29.11309823076902,23.546463573179615
2005-04-01,37.28755926588401,39.607176488214776,37.41575673086555,37.480582017083236,37.609223012064085,37.29303609847634,55.10339415965695,35.4370792076723,34.282680206167704,29.74336351200246,,29.223305491903062,39.32296176796465
2005-05-01,37.463266948035184,38.93375375765454,37.817722370262025,39.060650465795845,37.38031901847218,36.710676353570165,38.82158366351034,34.20740928124215,35.1603873396223,42.21493154457251,,29.280550070773916,29.664749236328166
2005-06-01,38.782291798677704,39.43173165718742,38.61664339758807,38.76570966496479,39.221425147125615,39.62657569212609,42.399643480968386,35.839615796823885,34.43086370908088,43.308689513918644,,30.5346665167212,30.33123749746442
2005-07-01,38.012581793493766,40.9453371405342,39.302579044492795,39.37835161568223,41.03758894527356,38.287510261979314,42.40053563855542,35.75417772653904,30.924968387775365,32.504516738710905,,30.97208120537983,25.210407976281882
2005-08-01,39.82213922434268,40.10312120819346,39.22569484311636,40.18203551099789,41.76522731174801,39.1785491382617,58.7961293826209,38.16517438757816,34.45249842947056,67.03160686076562,,31.451694310027328,34.141910869940084
2005-09-01,39.9629346789107,39.41595455332074,39.8577750802737,39.58661865796667,40.37040643536713,39.67314795076394,41.19321179401093,36.41409178689903,32.50958716310751,46.80736274358892,,31.82039228971707,12.622529636677452
